Source,Target,Type,Id,Label,timeset,Weight
29577094,223540146,Directed,451,,,1
29577094,265064671,Directed,452,,,1
30326447,3962774,Directed,453,,,1
30326447,13901621,Directed,454,,,1
30326447,29577094,Directed,455,,,1
30326447,36013631,Directed,456,,,1
30326447,36531766,Directed,457,,,1
30326447,49737902,Directed,458,,,1
30326447,54719519,Directed,459,,,1
30326447,63059154,Directed,460,,,1
30326447,118145874,Directed,461,,,1
30326447,135539293,Directed,462,,,1
30326447,144977816,Directed,463,,,1
30326447,145599925,Directed,464,,,1
30326447,185821111,Directed,465,,,1
30326447,223540146,Directed,466,,,1
30326447,265064671,Directed,467,,,1
30326447,348985678,Directed,468,,,1
31918619,606935,Directed,469,,,1
31918619,8091161,Directed,470,,,1
31918619,11032809,Directed,471,,,1
31918619,11758244,Directed,472,,,1
31918619,12545133,Directed,473,,,1
31918619,13678754,Directed,474,,,1
31918619,19745720,Directed,475,,,1
31918619,24457357,Directed,476,,,1
31918619,27835117,Directed,477,,,1
31918619,35682388,Directed,478,,,1
31918619,57578133,Directed,479,,,1
31918619,87659298,Directed,480,,,1
31918619,103643300,Directed,481,,,1
31918619,123135073,Directed,482,,,1
31918619,138662527,Directed,483,,,1
31918619,169281899,Directed,484,,,1
31918619,319946857,Directed,485,,,1
31918619,321776160,Directed,486,,,1
33291061,13901621,Directed,487,,,1
33291061,15214765,Directed,488,,,1
33291061,19528233,Directed,489,,,1
33291061,27362559,Directed,490,,,1
33291061,49737902,Directed,491,,,1
33291061,54805716,Directed,492,,,1
33291061,63059154,Directed,493,,,1
33291061,133009701,Directed,494,,,1
33291061,144977816,Directed,495,,,1
33291061,145599925,Directed,496,,,1
34338675,68797455,Directed,497,,,1
35682388,31918619,Directed,498,,,1
36013631,3962774,Directed,499,,,1
36013631,13570592,Directed,500,,,1
36013631,13901621,Directed,501,,,1
36013631,15214765,Directed,502,,,1
36013631,19528233,Directed,503,,,1
36013631,20644948,Directed,504,,,1
36013631,27362559,Directed,505,,,1
36013631,29318531,Directed,506,,,1
36013631,29577094,Directed,507,,,1
36013631,30326447,Directed,508,,,1
36013631,38375746,Directed,509,,,1
36013631,49737902,Directed,510,,,1
36013631,54719519,Directed,511,,,1
36013631,54805716,Directed,512,,,1
36013631,63059154,Directed,513,,,1
36013631,63632030,Directed,514,,,1
36013631,84899856,Directed,515,,,1
36013631,118145874,Directed,516,,,1
36013631,133009701,Directed,517,,,1
36013631,135539293,Directed,518,,,1
36013631,144977816,Directed,519,,,1
36013631,145599925,Directed,520,,,1
36013631,171081009,Directed,521,,,1
36013631,182912631,Directed,522,,,1
36013631,208742453,Directed,523,,,1
36013631,223540146,Directed,524,,,1
36013631,269660736,Directed,525,,,1
36013631,348985678,Directed,526,,,1
36531766,13901621,Directed,527,,,1
36531766,19528233,Directed,528,,,1
36531766,30326447,Directed,529,,,1
36531766,63059154,Directed,530,,,1
36531766,118145874,Directed,531,,,1
36531766,135539293,Directed,532,,,1
36531766,223540146,Directed,533,,,1
36531766,265064671,Directed,534,,,1
38375746,20644948,Directed,535,,,1
38375746,27362559,Directed,536,,,1
38375746,29577094,Directed,537,,,1
38375746,36013631,Directed,538,,,1
38375746,49737902,Directed,539,,,1
38375746,54719519,Directed,540,,,1
38375746,54805716,Directed,541,,,1
38375746,100320105,Directed,542,,,1
38375746,118145874,Directed,543,,,1
38375746,129922299,Directed,544,,,1
38375746,145599925,Directed,545,,,1
38375746,184455124,Directed,546,,,1
38375746,348985678,Directed,547,,,1
39283361,12448810,Directed,548,,,1
39283361,29318531,Directed,549,,,1
39283361,63059154,Directed,550,,,1
39283361,100320105,Directed,551,,,1
39283361,208742453,Directed,552,,,1
47437047,8091161,Directed,553,,,1
47437047,48920357,Directed,554,,,1
48920357,606935,Directed,555,,,1
48920357,8091161,Directed,556,,,1
48920357,11995332,Directed,557,,,1
48920357,24457357,Directed,558,,,1
48920357,27835117,Directed,559,,,1
48920357,47437047,Directed,560,,,1
48920357,55859088,Directed,561,,,1
48920357,57578133,Directed,562,,,1
48920357,117257470,Directed,563,,,1
48920357,129418433,Directed,564,,,1
48920357,147738745,Directed,565,,,1
48920357,163604438,Directed,566,,,1
48920357,223965224,Directed,567,,,1
48920357,321776160,Directed,568,,,1
49737902,3962774,Directed,569,,,1
49737902,7291997,Directed,570,,,1
49737902,8443582,Directed,571,,,1
49737902,13570592,Directed,572,,,1
49737902,13901621,Directed,573,,,1
49737902,15214765,Directed,574,,,1
49737902,19528233,Directed,575,,,1
49737902,20644948,Directed,576,,,1
49737902,24968494,Directed,577,,,1
49737902,27362559,Directed,578,,,1
49737902,29318531,Directed,579,,,1
49737902,29577094,Directed,580,,,1
49737902,30326447,Directed,581,,,1
49737902,30637530,Directed,582,,,1
49737902,33291061,Directed,583,,,1
49737902,36013631,Directed,584,,,1
49737902,38375746,Directed,585,,,1
49737902,54719519,Directed,586,,,1
49737902,54805716,Directed,587,,,1
49737902,63059154,Directed,588,,,1
49737902,100320105,Directed,589,,,1
49737902,118145874,Directed,590,,,1
49737902,119421614,Directed,591,,,1
49737902,133009701,Directed,592,,,1
49737902,135539293,Directed,593,,,1
49737902,138296578,Directed,594,,,1
49737902,144977816,Directed,595,,,1
49737902,145599925,Directed,596,,,1
49737902,160314044,Directed,597,,,1
49737902,182912631,Directed,598,,,1
49737902,184455124,Directed,599,,,1
49737902,200526015,Directed,600,,,1
49737902,223540146,Directed,601,,,1
49737902,269660736,Directed,602,,,1
51040071,3962774,Directed,603,,,1
51040071,15214765,Directed,604,,,1
51040071,20644948,Directed,605,,,1
51040071,54719519,Directed,606,,,1
51040071,63632030,Directed,607,,,1
52524300,11758244,Directed,608,,,1
52524300,19528233,Directed,609,,,1
52524300,57578133,Directed,610,,,1
52524300,68797455,Directed,611,,,1
52524300,87659298,Directed,612,,,1
54719519,13570592,Directed,613,,,1
54719519,13901621,Directed,614,,,1
54719519,15214765,Directed,615,,,1
54719519,20644948,Directed,616,,,1
54719519,24968494,Directed,617,,,1
54719519,27362559,Directed,618,,,1
54719519,29318531,Directed,619,,,1
54719519,29577094,Directed,620,,,1
54719519,30326447,Directed,621,,,1
54719519,36013631,Directed,622,,,1
54719519,38375746,Directed,623,,,1
54719519,49737902,Directed,624,,,1
54719519,51040071,Directed,625,,,1
54719519,54805716,Directed,626,,,1
54719519,63059154,Directed,627,,,1
54719519,118145874,Directed,628,,,1
54719519,133009701,Directed,629,,,1
54719519,135539293,Directed,630,,,1
54719519,145599925,Directed,631,,,1
54719519,160314044,Directed,632,,,1
54719519,171081009,Directed,633,,,1
54719519,182912631,Directed,634,,,1
54719519,223540146,Directed,635,,,1
54719519,228813727,Directed,636,,,1
54719519,265064671,Directed,637,,,1
54805716,8443582,Directed,638,,,1
54805716,13570592,Directed,639,,,1
54805716,13901621,Directed,640,,,1
54805716,19528233,Directed,641,,,1
54805716,24968494,Directed,642,,,1
54805716,27362559,Directed,643,,,1
54805716,33291061,Directed,644,,,1
54805716,36013631,Directed,645,,,1
54805716,38375746,Directed,646,,,1
54805716,49737902,Directed,647,,,1
54805716,54719519,Directed,648,,,1
54805716,63059154,Directed,649,,,1
54805716,118145874,Directed,650,,,1
54805716,133009701,Directed,651,,,1
54805716,135539293,Directed,652,,,1
54805716,144977816,Directed,653,,,1
54805716,145599925,Directed,654,,,1
54805716,156506219,Directed,655,,,1
54805716,160314044,Directed,656,,,1
54805716,184455124,Directed,657,,,1
54805716,246644060,Directed,658,,,1
54805716,348985678,Directed,659,,,1
55859088,10038725,Directed,660,,,1
55859088,12545133,Directed,661,,,1
55859088,13678754,Directed,662,,,1
55859088,22643458,Directed,663,,,1
